ID,Building ID,Final Clean UBI
746,2740856,07110813
747,2740856,07110814
748,2740856,07117000
749,2740856,07117002
750,2740856,07117007
751,2740856,07117009
752,2740856,07117011
753,2740856,07117015
754,2740856,07117018
755,2482523,07110815
756,2482523,07117001
757,2482523,07117003
758,2482523,07117005
759,2482523,07117010
760,2482523,07117013
761,2482523,07117016
762,2482523,07117019
763,3500400,18020823
764,3500400,18020810
765,2947118,26240832
766,2947118,26240831
767,3513332,30570092
768,3513332,30630801
769,3513332,30750807
770,3513332,30600041
771,3513332,30600839
772,3513332,30640837
773,3513332,30720052
774,3513332,30800073
775,3512189,38480059
776,3512189,38480824
777,3512189,38487000
778,3497644,51650862
779,3497644,51650036
780,3505069,PAR01330131
782,3504029,18051068
783,1215034,21320850
784,2986561,26741933
785,2683077,00240113
786,1649511,00240871
787,2809459,00240886
788,3520098,00251782
789,1733119,00252144
790,3524410,00670065
791,3530833,00670830
792,1071813,00700881
793,1326398,00720074
794,3136592,00780040
795,3540346,00960814
796,3394466,00971051
797,1733134,01000897
798,2308771,01070062
799,1396919,01070077
800,1556347,01160074
801,1356329,01170080
802,1368706,01180818
803,3016235,01260061
804,2256973,01270843
805,25091,01400093
806,1569687,01400095
807,3200166,01461469
808,2945494,01610032
809,1326383,01620099
810,2015806,01650028
811,1267785,01660862
812,1556355,01690070
813,3504818,01730109
814,1396892,01840804
815,3281658,01860041
816,3524415,01950846
817,3540424,02110041
818,3541143,02110852
819,3524414,02110858
820,3515220,02122674
821,30431,02150012
822,1397164,02180077
823,3515226,02450843
824,3507167,02452637
825,3524412,02470873
826,2308305,02480066
827,1390715,02500857
828,1215025,02540838
829,3540220,02820044
830,2706378,02870813
831,1215024,03190863
832,3081163,03200028
833,3283449,03460805
834,1146829,03770044
835,1045335,04030836
836,1779473,04040816
837,3531644,04720128
839,3509280,0516S0861
840,2999304,05310036
841,3332273,05462281
842,3332272,05462282
843,3283514,05630016
844,3122341,06660015
845,2028126,06770142
846,2654964,0710E0014
847,3518379,07410816
848,2538487,0743N0077
849,1456708,07700809
850,2654957,11890088
851,3504836,12030047
852,3507393,12991059
853,3504833,17690031
854,3470735,18690825
855,3530895,19230833
856,3533286,20350004
857,3523177,20390001
858,2592260,20460003
859,3502126,22260800
860,3470657,22340003
861,3504813,24720036
862,3542046,25710104
863,3542092,25720815
864,3540396,25890847
865,3541282,26081039
866,3541006,26890861
867,3515264,28680155
868,3358048,33590048
869,3200168,38940021
